"","accpt_id","state","county","totbeds","alzunit","profit","hospbase","restrain","acuindex2","avgage","pctchf","pcthyper","agg_female","pctvent_mds3","pctlowcfs","pctmidcfs","pcthighcfs","adj_rehosprate","fup_adj_rehosp"
"1","015001","AL","101",143,"No","Yes","No",0,13.052,68.42,24.27,73.79,55.28,0,47.57,37.86,14.56,"0.1083",0.1914
"3","015010","AL","121",85,"No","Yes","Yes",0,12.634,79.37,21.67,86.67,59.49,0,48.33,23.33,28.33,"0.1106",0.1392
"6","015014","AL","073",92,"No","Yes","No",0,14.266,71.16,18.31,85.92,48.54,0,32.88,39.73,27.4,"0.1930",0.246
"9","015019","AL","051",124,"Yes","Yes","No",0,12.797,73.31,17.98,71.91,49.65,0,14.44,65.56,20,".",0.1134
"10","015023","AL","021",201,"Yes","Yes","No",0,11.871,82.35,23.08,81.54,81.82,0,33.08,54.62,12.31,".",0.1515
"11","015024","AL","083",170,"No","Yes","No",12.9,12.87,83.93,24,80,68.52,0,24,61.6,14.4,".",0.1336
"12","015027","AL","051",121,"Yes","Yes","No",0,12.767,82.12,11.76,68.63,62.09,0,29.81,53.85,16.35,"0.1827",0.1823
"14","015031","AL","077",222,"No","Yes","No",0,12.741,80.41,13.38,71.13,60.52,0,35.92,54.23,9.86,".",0.1348
"15","015032","AL","003",154,"Yes","Yes","No",0,12.418,79.23,17.24,79.31,61.41,0,34.75,50.85,14.41,"0.1675",0.1704
"17","015035","AL","053",129,"No","Yes","No",0.94,12.065,77.23,21,88,65.74,0,37,46,17,"0.1555",0.1189
"20","015042","AL","119",125,"Yes","Yes","No",0,14.093,77.72,24.36,87.18,60.35,0,24.05,26.58,49.37,"0.1259",0.1225
"34","015073","AL","043",208,"Yes","Yes","No",0,10.803,81.06,22.1,58.56,68.9,0,30.22,62.09,7.69,"0.2202",0.1095
"35","015075","AL","103",216,"Yes","Yes","No",0,12.432,82.04,27.89,80.53,67.62,0,23.68,58.42,17.89,".",0.1344
"36","015076","AL","073",197,"Yes","No","No",0,11.672,84.42,14.29,72.57,65.65,0,19.89,66.48,13.64,"0.1481",0.1623
"38","015084","AL","047",103,"Yes","Yes","No",0,11.889,79.16,31.91,87.23,62.14,0,38.78,45.92,15.31,".",0.1752
"40","015091","AL","073",190,"Yes","Yes","No",0,13.099,72.72,7.79,72.08,60.47,0,33.77,54.55,11.69,"0.1712",0.1587
"42","015098","AL","097",119,"No","No","No",0,12.97,81.87,13.95,79.07,62.39,0,32.56,41.86,25.58,".",0.1305
